Benchmark,D,Algorithm,Mean Err,Best Err,Std Err
high_conditioned_elliptic,10,DE,1325.0029177809300,0.6624286353817720,2502.8111231984100
high_conditioned_elliptic,10,GA,1014.536124753250,72.29956666513940,1263.0452291732500
bent_cigar,10,DE,8603885.067226810,3810.7179834469100,18676520.89875510
bent_cigar,10,GA,8188072.191300710,2164102.008106400,9485568.797433270
discus,10,DE,341.6327402089550,0.1459084917794640,570.2624606773260
discus,10,GA,5091.2620090737,14.902740220278400,607.882551281568
rosenbrocks,10,DE,15819.531825097200,31.03035741684660,39355.713906621900
rosenbrocks,10,GA,8617.138609561590,982.9496917755530,20739.50449124670
ackleys,10,DE,3.8930097026836600,0.2198955684409230,2.860480304014780
ackleys,10,GA,4.461574736616070,2.309183394773730,1.037295763156760
weierstrass,10,DE,-317.5353486048600,-407.1905863920590,25.964593467519500
weierstrass,10,GA,-430.4837767663900,-655.6127485899940,92.08276737666830
griewanks,10,DE,0.6111597581760410,0.4290267398330530,0.07863008321462820
griewanks,10,GA,0.2135378853652100,0.0622719733049546,0.1214030532747580
rastrigins,10,DE,73.98607945027680,30.142671388892100,35.89398462558720
rastrigins,10,GA,27.23308178259370,6.604848856292360,25.928808711941600
