Benchmark,D,Algorithm,Mean Err,Best Err,Std Err
high_conditioned_elliptic,20,DE,12414.801309430700,1181.8133465982400,9406.626644986710
high_conditioned_elliptic,20,GA,4143.635351836750,1513.0362510510400,3038.602436722690
bent_cigar,20,DE,101923155.75238300,9201753.292055360,83766957.7218235
bent_cigar,20,GA,32447948.26128050,10098588.271130400,27923746.218599000
discus,20,DE,1219.57670487036,121.22316417948000,638.5639065121730
discus,20,GA,3726.2975872269400,50.0664231779204,353.05562114922900
rosenbrocks,20,DE,319633.6840308080,10449.231243786200,326328.5524440050
rosenbrocks,20,GA,49329.72755445050,3480.672151928300,101055.6218854210
ackleys,20,DE,8.970680385975140,4.5639458142994300,2.2384749330115800
ackleys,20,GA,5.738360938033190,4.3594959028826600,0.8985956124243890
weierstrass,20,DE,-480.10022212818500,-600.4633728047850,34.63122552162850
weierstrass,20,GA,-815.6294715235350,-1325.2002407262900,251.2113982198600
griewanks,20,DE,0.9978274899587210,0.7419774808463000,0.062311703928439200
griewanks,20,GA,0.8796615875165690,0.40651728953648400,0.03439021640900910
rastrigins,20,DE,311.1154113601450,132.95270082446800,104.16367906871000
rastrigins,20,GA,79.26318747115470,36.00536280775920,53.89899162382430
